Laufzettel-UID,Oberkategorie,Unterkategorie,Marke,Gerät/Gegenstand,Baujahr,"Datum Reparaturveranstaltung",Fehlerbeschreibung,"Fehler gefunden?",Reparaturerfolg,"Reparatur: vertagt","Reparatur: nicht erfolgt","Reparatur: Abbruch","Keine Reparatur, weil",Url
30982,"Elektro Sonstiges",Fön,,Fön,,17.10.2020,"gibt nicht mehr Vollgas
=&gt; Teilnutzung möglich, nach Reparatur vermutlich Gehäuse defekt",ja,"erfolgreich abgeschlossen",,"Teilnutzung möglich",,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30980,Unterhaltungselektronik,Walkman,,Walkman,,17.10.2020,"spult nicht
=&gt; keine Kassette zum testen",ja,"vertagt, weil...","Hilfsmittel oder Zubehör fehlt",,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30983,Unterhaltungselektronik,Radiowecker,,Radiowecker,,17.10.2020,"gibt keinen Ton
=&gt; defektes Bauteil identifiziert, aber zu wenig Zeit",ja,"vertagt, weil...","Hilfsmittel oder Zubehör fehlt",,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30984,"Elektro Sonstiges",Spielzeug,,"schwarzer Turm",,17.10.2020,"arbeitet ersten Schritt nicht ab",ja,"vertagt, weil...","Hilfsmittel oder Zubehör fehlt",,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30975,Haushaltsgeräte,Staubsauger,Samsung,Staubsaugroboter,,17.10.2020,"saugt so gut wie gar nicht mehr",ja,"vertagt, weil...","Ersatzteilbesorgung durch Besucher",,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30985,Haushaltsgeräte,"Reibe, elektrisch",,Rundreibe,,17.10.2020,"Flügelschraube gebrochen
=&gt; M6x20",ja,"vertagt, weil...","Ersatzteilbesorgung durch Besucher",,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30974,Haushaltsgeräte,Staubsauger,Miele,Staubsauger,,17.10.2020,"Wackelkontakt am ein/aus Schalter
=&gt; Bedienung durch Funk Fernbedienung",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30976,Haushaltsgeräte,Staubsauger,,Staubsauger,,17.10.2020,"geht nicht an
=&gt; Zuleitung ausgestauscht",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30977,Haushaltsgeräte,Kaffeemaschine,,Kaffeemaschine,,17.10.2020,"Wasser läuft innen runter, nicht vorne
=&gt; Plastikteile mussten wieder angebracht werden",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30979,"Elektro Sonstiges",Nähmaschine,,Nähmaschine,,17.10.2020,"defekt
=&gt; Riemen gespannt",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30981,Haushaltsgeräte,Kaffeevollautomat,,Kaffeevollautomat,,17.10.2020,"Milchtank zieht nicht
=&gt; Handauflegen",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30986,Haushaltsgeräte,"Reibe, elektrisch",,Rundreibe,,17.10.2020,"Saugnapf hält nicht mehr
=&gt; Auf Wasser benutzen",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30987,"Elektro Sonstiges",Blutdruckmessgerät,,Blutdruckmessgerät,,17.10.2020,"undicht
=&gt; defektes Schlauchteil abgeschnitten",ja,"erfolgreich abgeschlossen",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30978,"Elektro Sonstiges",Heckenschere,,Heckenschere,,17.10.2020,"kein Ton
=&gt; Motor defekt",ja,"Abbruch: Gerät darf nicht mehr genutzt werden",,,,,"https://www.reparatur-initiativen.de/makerspace-gt?event=26856,2020-10-17"
30222,"Elektro Sonstiges",LED-Licht/LED-Leuchte,,LED-Licht,,01.08.2020,"leuchtet nicht mehr",ja,"nicht erfolgt, weil...",,"Ersatzteil nicht erhältlich",,,"https://www.reparatur-initiativen.de/makerspace-gt?event=30211,2020-08-01"
30220,Haushaltsgeräte,Bügeleisen,,Dampfbügeleisen,,01.08.2020,"kein Dampf mehr",ja,"nicht erfolgt, weil...",,"Teilnutzung möglich",,,"https://www.reparatur-initiativen.de/makerspace-gt?event=30211,2020-08-01"
30221,"Elektro Sonstiges",Elektrorasierer,,Rasierer,,01.08.2020,"Reinigt nicht mehr; muss geöffnet werden um Ersatzteil zu identifizieren",ja,"nicht erfolgt, weil...",,"Teilnutzung möglich",,,"https://www.reparatur-initiativen.de/makerspace-gt?event=30211,2020-08-01"
30223,Unterhaltungselektronik,Videorekorder,,Videorekorder,,01.08.2020,"Band verklemmt sich",nein,"nicht erfolgt, weil...",,"Gesamtaufwand zu hoch",,,"https://www.reparatur-initiativen.de/makerspace-gt?event=30211,2020-08-01"
30218,Haushaltsgeräte,Staubsauger,,Staubsauger,,01.08.2020,"Motor defekt",ja,"nicht erfolgt, weil...",,Sonstiges,,"Ersatzteil zu teuer","https://www.reparatur-initiativen.de/makerspace-gt?event=30211,2020-08-01"
