Datum,Nummer,"Alters-
kategorie",Kategorie,Bezeichnung,Hersteller,Baujahr,Defekt / Beschwerde,"Reparatur
gelungen?",Bemerkung
02.03.2019,1,61+,elektrisch,Radio,,,kein Ton,nein,zu komplex
02.03.2019,2,61+,elektrisch,Wasserkocher,,,An-Aus-Mechanismus,ja,Schrauben fest gezogen
02.03.2019,3,41-60,elektrisch,Küchenmaschine,,,geht nach kurzer Zeit wieder aus,nein,
02.03.2019,4,21-40,elektrisch,Bluetooth Lautsprecher,,,Ladeanschluss defekt,teilweise,
02.03.2019,5,41-60,elektrisch,Espressomaschine,,,Wasser läuft aus,teilweise,"Entkalken mit Citronensäure
evtl. mit Zahnbürste"
02.03.2019,6,61+,elektrisch,CD Spieler,,,keine Funktion,nein,"Mikroschalter defekt, auf Überbrückung verzichtet wegen Lasergefahr"
02.03.2019,7,61+,elektrisch,Wasserkocher,,,Wackelkontakt,ja,Zuleitung erneuert
02.03.2019,8,41-60,elektrisch,Funkschalter,,,"Platine, neu löten",teilweise,nächsten Mittwoch
02.03.2019,9,41-60,elektrisch,Kaffeemaschine,,,"tröpfelt nur noch, heizt aber",nein,ist nicht zu öffnen
02.03.2019,10,61+,elektrisch,Lampe,,,Lampenschirm wackelt,ja,
02.03.2019,11,21-40,elektrisch,Laptop Akku,,,tiefenentladen,nein,ist nicht zu öffnen
02.03.2019,12,61+,Anders,Kinderplattenspieler,,,keine Funktion,nein,mechanisch Verformt
02.03.2019,13,61+,elektrisch,Verstärker,,,keine Funktion,nein,Wasserschaden
02.03.2019,14,41-60,elektrisch,Staubsauger,,,Kabeleinzug funktioniert nicht,nein,ist nicht zu öffnen
02.03.2019,15,41-60,elektrisch,???,,,Diode,ja,
02.03.2019,16,kA,elektrisch,E-Grill,,,geht nach kurzer Zeit wieder aus,teilweise,"Temperatursensor schlägt an
Ersatzteil: MIC R30 T175"
15.03.2019,1,61+,elektrisch,Radio,,,kein Ton,kA,
15.03.2019,2,41-60,elektrisch,Rasierer,,,keine Funktion,kA,
15.03.2019,4,61+,elektrisch,Mikrowelle,,,Teller dreht sich nicht,ja,
